InvoiceNo,InvoiceDate,StockCode,Description,Quantity,UnitPrice,CustomerID,Country
536123,22/12/2023 16:32,SKU0001,Wireless Mouse,1,321.52,17357,Belgium
536124,23/12/2023 17:29,SKU0001,Wireless Mouse,1,321.52,19692,France
536125,24/12/2023 13:44,SKU0001,Wireless Mouse,1,321.52,18865,Germany
536126,25/12/2023 15:11,SKU0001,Wireless Mouse,1,321.52,12532,France
536127,26/12/2023 08:14,SKU0001,Wireless Mouse,1,321.52,18391,Spain
536128,27/12/2023 08:05,SKU0001,Wireless Mouse,1,321.52,17658,Netherlands
536129,28/12/2023 11:50,SKU0001,Wireless Mouse,1,321.52,14723,France
536130,29/12/2023 13:16,SKU0001,Wireless Mouse,1,321.52,14965,Ireland
536131,30/12/2023 17:18,SKU0001,Wireless Mouse,1,321.52,17607,France
536132,01/01/2024 10:20,SKU0001,Wireless Mouse,1,321.52,16440,Spain
536133,02/01/2024 13:16,SKU0001,Wireless Mouse,1,321.52,12226,Belgium
536134,04/01/2024 16:18,SKU0001,Wireless Mouse,1,321.52,16684,France
536135,05/01/2024 16:01,SKU0001,Wireless Mouse,1,321.52,18904,Netherlands
536136,07/01/2024 16:52,SKU0001,Wireless Mouse,1,321.52,18852,Germany
536137,08/01/2024 09:26,SKU0001,Wireless Mouse,1,321.52,19671,Belgium
536138,09/01/2024 10:28,SKU0001,Wireless Mouse,1,321.52,14957,Ireland
536139,10/01/2024 09:54,SKU0001,Wireless Mouse,1,321.52,13704,Germany
536140,11/01/2024 08:25,SKU0001,Wireless Mouse,1,321.52,17016,France
536141,12/01/2024 08:46,SKU0001,Wireless Mouse,1,321.52,14877,Netherlands
536142,13/01/2024 10:42,SKU0001,Wireless Mouse,1,321.52,15980,United Kingdom
536143,14/01/2024 17:25,SKU0001,Wireless Mouse,1,321.52,14120,United Kingdom
536144,17/01/2024 13:07,SKU0001,Wireless Mouse,1,321.52,14411,Ireland
536145,18/01/2024 08:05,SKU0001,Wireless Mouse,1,321.52,15036,Belgium
536146,19/01/2024 10:50,SKU0001,Wireless Mouse,1,321.52,16196,Ireland
536147,20/01/2024 08:05,SKU0001,Wireless Mouse,1,321.52,15659,Spain
536148,21/01/2024 10:10,SKU0001,Wireless Mouse,1,321.52,19315,Ireland
536149,22/01/2024 16:45,SKU0001,Wireless Mouse,1,321.52,19403,Netherlands
536150,26/01/2024 17:39,SKU0001,Wireless Mouse,1,321.52,15856,Netherlands
536151,27/01/2024 12:36,SKU0001,Wireless Mouse,1,321.52,13096,United Kingdom
536152,28/01/2024 10:50,SKU0001,Wireless Mouse,1,321.52,15880,France
536153,30/01/2024 10:15,SKU0001,Wireless Mouse,1,321.52,16837,Belgium
536154,01/02/2024 11:46,SKU0001,Wireless Mouse,1,321.52,17594,United Kingdom
536155,03/02/2024 09:16,SKU0001,Wireless Mouse,1,321.52,18095,France
536156,04/02/2024 08:34,SKU0001,Wireless Mouse,1,321.52,19766,Ireland
536157,07/02/2024 12:23,SKU0001,Wireless Mouse,1,321.52,14925,France
536158,09/02/2024 10:16,SKU0001,Wireless Mouse,1,321.52,13682,France
536159,10/02/2024 16:05,SKU0001,Wireless Mouse,1,321.52,15801,Germany
536160,12/02/2024 12:23,SKU0001,Wireless Mouse,1,321.52,14952,France
536161,13/02/2024 08:35,SKU0001,Wireless Mouse,1,321.52,19422,Spain
536162,16/02/2024 18:55,SKU0001,Wireless Mouse,1,321.52,13616,United Kingdom
536163,17/02/2024 17:03,SKU0001,Wireless Mouse,1,321.52,14324,France
536164,18/02/2024 15:18,SKU0001,Wireless Mouse,1,321.52,13968,Ireland
536165,20/02/2024 16:44,SKU0001,Wireless Mouse,1,321.52,15637,United Kingdom
536166,21/02/2024 13:38,SKU0001,Wireless Mouse,1,321.52,18429,Spain
536167,22/02/2024 16:20,SKU0001,Wireless Mouse,1,321.52,19592,Ireland
536168,23/02/2024 18:01,SKU0001,Wireless Mouse,1,321.52,19320,United Kingdom
536169,24/02/2024 13:04,SKU0001,Wireless Mouse,1,321.52,15369,Germany
536170,25/02/2024 08:32,SKU0001,Wireless Mouse,1,321.52,13582,Germany
536171,26/02/2024 15:53,SKU0001,Wireless Mouse,1,321.52,17061,Belgium
536172,27/02/2024 16:23,SKU0001,Wireless Mouse,1,321.52,19870,Ireland
536173,29/02/2024 08:36,SKU0001,Wireless Mouse,1,321.52,19105,Spain
536174,02/03/2024 10:58,SKU0001,Wireless Mouse,1,321.52,18428,Germany
536175,03/03/2024 08:42,SKU0001,Wireless Mouse,1,321.52,15144,United Kingdom
536176,04/03/2024 11:57,SKU0001,Wireless Mouse,1,321.52,15453,Belgium
536177,05/03/2024 10:20,SKU0001,Wireless Mouse,1,321.52,13038,Spain
536178,06/03/2024 12:42,SKU0001,Wireless Mouse,1,321.52,18886,Ireland
536179,07/03/2024 11:18,SKU0001,Wireless Mouse,1,321.52,18870,Ireland
536180,08/03/2024 15:26,SKU0001,Wireless Mouse,1,321.52,13388,Netherlands
536181,09/03/2024 18:19,SKU0001,Wireless Mouse,1,321.52,13372,Netherlands
536182,10/03/2024 16:31,SKU0001,Wireless Mouse,1,321.52,12971,Germany
536183,12/03/2024 16:55,SKU0001,Wireless Mouse,1,321.52,18323,Germany
536184,13/03/2024 12:06,SKU0001,Wireless Mouse,1,321.52,14520,United Kingdom
536185,14/03/2024 12:23,SKU0001,Wireless Mouse,1,321.52,13820,Ireland
536186,15/03/2024 16:46,SKU0001,Wireless Mouse,1,321.52,16896,Spain
536187,16/03/2024 18:14,SKU0001,Wireless Mouse,1,321.52,17370,France
536188,17/03/2024 14:57,SKU0001,Wireless Mouse,1,321.52,15944,Germany
536189,19/03/2024 11:56,SKU0001,Wireless Mouse,1,321.52,14833,United Kingdom
536190,20/03/2024 15:52,SKU0001,Wireless Mouse,1,321.52,18791,United Kingdom
536191,21/03/2024 08:41,SKU0001,Wireless Mouse,1,321.52,17565,Spain
536192,22/03/2024 13:27,SKU0001,Wireless Mouse,1,321.52,19293,Spain
536193,23/03/2024 12:17,SKU0001,Wireless Mouse,1,321.52,16152,Netherlands
536194,27/03/2024 14:22,SKU0001,Wireless Mouse,1,321.52,18097,Belgium
536195,28/03/2024 09:55,SKU0001,Wireless Mouse,1,321.52,18436,Spain
536196,29/03/2024 18:48,SKU0001,Wireless Mouse,1,321.52,15563,Spain
536197,30/03/2024 10:51,SKU0001,Wireless Mouse,1,321.52,15986,Spain
536198,31/03/2024 09:42,SKU0001,Wireless Mouse,1,321.52,19899,Netherlands
536199,01/04/2024 13:46,SKU0001,Wireless Mouse,1,321.52,17138,France
536200,02/04/2024 16:51,SKU0001,Wireless Mouse,1,321.52,17689,France
536201,03/04/2024 17:48,SKU0001,Wireless Mouse,1,321.52,13982,United Kingdom
536202,04/04/2024 11:31,SKU0001,Wireless Mouse,1,321.52,12506,Ireland
536203,05/04/2024 14:23,SKU0001,Wireless Mouse,1,321.52,18648,Ireland
536204,07/04/2024 14:19,SKU0001,Wireless Mouse,1,321.52,15029,Belgium
536205,08/04/2024 10:24,SKU0001,Wireless Mouse,1,321.52,14091,Netherlands
536206,09/04/2024 12:39,SKU0001,Wireless Mouse,1,321.52,16096,Belgium
536207,10/04/2024 10:47,SKU0001,Wireless Mouse,1,321.52,13707,Germany
536208,12/04/2024 13:06,SKU0001,Wireless Mouse,1,321.52,18604,Germany
536209,13/04/2024 14:59,SKU0001,Wireless Mouse,1,321.52,12465,France
536210,14/04/2024 18:52,SKU0001,Wireless Mouse,1,321.52,15524,Ireland
536211,15/04/2024 09:59,SKU0001,Wireless Mouse,1,321.52,13798,Ireland
536212,16/04/2024 15:14,SKU0001,Wireless Mouse,1,321.52,19233,United Kingdom
536213,17/04/2024 08:37,SKU0001,Wireless Mouse,1,321.52,13899,Netherlands
536214,19/04/2024 17:45,SKU0001,Wireless Mouse,1,321.52,14846,Spain
536215,20/04/2024 13:26,SKU0001,Wireless Mouse,1,321.52,15245,France
536216,21/04/2024 16:01,SKU0001,Wireless Mouse,1,321.52,18436,United Kingdom
536217,24/04/2024 14:58,SKU0001,Wireless Mouse,1,321.52,14312,Germany
536218,25/04/2024 16:57,SKU0001,Wireless Mouse,1,321.52,12517,Ireland
536219,28/04/2024 13:15,SKU0001,Wireless Mouse,1,321.52,19584,Netherlands
536220,30/04/2024 17:29,SKU0001,Wireless Mouse,1,321.52,15610,Belgium
536221,01/05/2024 12:53,SKU0001,Wireless Mouse,1,321.52,16870,United Kingdom
536222,02/05/2024 10:46,SKU0001,Wireless Mouse,1,321.52,15438,Belgium
536223,03/05/2024 14:05,SKU0001,Wireless Mouse,1,321.52,13698,Spain
536224,04/05/2024 09:09,SKU0001,Wireless Mouse,1,321.52,18655,United Kingdom
536225,05/05/2024 16:40,SKU0001,Wireless Mouse,1,321.52,12939,Spain
536226,06/05/2024 12:17,SKU0001,Wireless Mouse,1,321.52,16002,France
536227,08/05/2024 18:10,SKU0001,Wireless Mouse,1,321.52,15553,Spain
536228,09/05/2024 11:04,SKU0001,Wireless Mouse,1,321.52,14999,United Kingdom
536229,10/05/2024 17:33,SKU0001,Wireless Mouse,1,321.52,14191,Spain
536230,12/05/2024 12:18,SKU0001,Wireless Mouse,1,321.52,14213,Germany
536231,18/05/2024 10:08,SKU0001,Wireless Mouse,1,321.52,13167,United Kingdom
536232,19/05/2024 10:29,SKU0001,Wireless Mouse,1,321.52,19902,United Kingdom
536233,20/05/2024 15:27,SKU0001,Wireless Mouse,1,321.52,12670,United Kingdom
536234,21/05/2024 17:56,SKU0001,Wireless Mouse,1,321.52,15632,Germany
536235,24/05/2024 08:13,SKU0001,Wireless Mouse,1,321.52,15589,Belgium
536236,26/05/2024 16:10,SKU0001,Wireless Mouse,1,321.52,14928,Spain
536237,27/05/2024 18:28,SKU0001,Wireless Mouse,1,321.52,13165,Belgium
536238,28/05/2024 18:17,SKU0001,Wireless Mouse,1,321.52,13781,France
536239,31/05/2024 14:58,SKU0001,Wireless Mouse,1,321.52,13651,Germany
536240,02/06/2024 14:24,SKU0001,Wireless Mouse,1,321.52,12890,Spain
536241,04/06/2024 08:31,SKU0001,Wireless Mouse,1,321.52,14523,Belgium
536242,05/06/2024 17:30,SKU0001,Wireless Mouse,1,321.52,18749,United Kingdom
536243,07/06/2024 09:54,SKU0001,Wireless Mouse,1,321.52,14573,Netherlands
536244,10/06/2024 09:03,SKU0001,Wireless Mouse,1,321.52,16322,Belgium
536245,11/06/2024 17:00,SKU0001,Wireless Mouse,1,321.52,14522,United Kingdom
536246,12/06/2024 08:47,SKU0001,Wireless Mouse,1,321.52,15362,Netherlands
536247,13/06/2024 15:42,SKU0001,Wireless Mouse,1,321.52,18579,Ireland
536248,15/06/2024 12:44,SKU0001,Wireless Mouse,1,321.52,18197,United Kingdom
536249,17/06/2024 17:14,SKU0001,Wireless Mouse,1,321.52,17925,Spain
536250,18/06/2024 16:12,SKU0001,Wireless Mouse,1,321.52,13145,Germany
536251,19/06/2024 15:26,SKU0001,Wireless Mouse,1,321.52,19499,Spain
536252,21/06/2024 18:31,SKU0001,Wireless Mouse,1,321.52,15123,Netherlands
536253,22/06/2024 15:54,SKU0001,Wireless Mouse,1,321.52,18435,Netherlands
536254,23/06/2024 15:38,SKU0001,Wireless Mouse,1,321.52,13331,Belgium
536255,25/06/2024 13:35,SKU0001,Wireless Mouse,1,321.52,13007,France
536256,26/06/2024 12:19,SKU0001,Wireless Mouse,1,321.52,17157,United Kingdom
536257,27/06/2024 13:04,SKU0001,Wireless Mouse,1,321.52,15632,Netherlands
536258,28/06/2024 18:00,SKU0001,Wireless Mouse,1,321.52,19567,United Kingdom
536259,01/07/2023 18:21,SKU0002,Ergonomic Keyboard,21,3.1,19605,United Kingdom
536260,02/07/2023 15:49,SKU0002,Ergonomic Keyboard,21,3.1,17001,Netherlands
536261,03/07/2023 15:58,SKU0002,Ergonomic Keyboard,20,3.1,12704,France
536262,04/07/2023 08:11,SKU0002,Ergonomic Keyboard,13,3.1,17829,Ireland
536263,05/07/2023 16:00,SKU0002,Ergonomic Keyboard,17,3.1,17924,Netherlands
536264,06/07/2023 13:32,SKU0002,Ergonomic Keyboard,17,3.1,15963,Germany
536265,07/07/2023 08:17,SKU0002,Ergonomic Keyboard,20,3.1,15789,Belgium
536266,08/07/2023 16:24,SKU0002,Ergonomic Keyboard,18,3.1,19711,Netherlands
536267,09/07/2023 11:52,SKU0002,Ergonomic Keyboard,16,3.1,13490,Spain
536268,12/07/2023 14:59,SKU0002,Ergonomic Keyboard,15,3.1,16473,France
536269,14/07/2023 09:22,SKU0002,Ergonomic Keyboard,20,3.1,18985,United Kingdom
536270,15/07/2023 10:16,SKU0002,Ergonomic Keyboard,18,3.1,14605,Spain
536271,16/07/2023 16:16,SKU0002,Ergonomic Keyboard,24,3.1,16736,France
536272,17/07/2023 12:52,SKU0002,Ergonomic Keyboard,19,3.1,14024,United Kingdom
536273,18/07/2023 11:36,SKU0002,Ergonomic Keyboard,13,3.1,18698,Germany
536274,19/07/2023 09:20,SKU0002,Ergonomic Keyboard,16,3.1,19436,Germany
536275,20/07/2023 18:41,SKU0002,Ergonomic Keyboard,24,3.1,13045,Spain
536276,21/07/2023 13:27,SKU0002,Ergonomic Keyboard,14,3.1,19973,Netherlands
536277,23/07/2023 08:26,SKU0002,Ergonomic Keyboard,18,3.1,14481,United Kingdom
536278,24/07/2023 16:38,SKU0002,Ergonomic Keyboard,19,3.1,18747,Belgium
536279,27/07/2023 12:11,SKU0002,Ergonomic Keyboard,18,3.1,14176,France
536280,28/07/2023 11:33,SKU0002,Ergonomic Keyboard,12,3.1,17734,Netherlands
536281,29/07/2023 08:01,SKU0002,Ergonomic Keyboard,17,3.1,12923,Netherlands
536282,30/07/2023 14:34,SKU0002,Ergonomic Keyboard,14,3.1,14624,Germany
536283,01/08/2023 18:25,SKU0002,Ergonomic Keyboard,16,3.1,16027,Spain
536284,02/08/2023 18:00,SKU0002,Ergonomic Keyboard,17,3.1,14325,France
536285,03/08/2023 10:15,SKU0002,Ergonomic Keyboard,19,3.1,18678,Germany
536286,04/08/2023 11:04,SKU0002,Ergonomic Keyboard,15,3.1,12332,United Kingdom
536287,05/08/2023 13:09,SKU0002,Ergonomic Keyboard,16,3.1,14377,France
536288,06/08/2023 16:26,SKU0002,Ergonomic Keyboard,15,3.1,17644,France
536289,07/08/2023 09:24,SKU0002,Ergonomic Keyboard,13,3.1,15696,Germany
536290,08/08/2023 11:56,SKU0002,Ergonomic Keyboard,13,3.1,15101,Spain
536291,10/08/2023 08:36,SKU0002,Ergonomic Keyboard,15,3.1,14907,United Kingdom
536292,11/08/2023 11:56,SKU0002,Ergonomic Keyboard,20,3.1,16429,France
536293,12/08/2023 18:25,SKU0002,Ergonomic Keyboard,14,3.1,13586,France
536294,13/08/2023 17:57,SKU0002,Ergonomic Keyboard,15,3.1,17043,Spain
536295,15/08/2023 08:48,SKU0002,Ergonomic Keyboard,18,3.1,12989,Belgium
536296,17/08/2023 10:00,SKU0002,Ergonomic Keyboard,16,3.1,18162,Germany
536297,18/08/2023 14:06,SKU0002,Ergonomic Keyboard,15,3.1,18897,Germany
536298,19/08/2023 11:20,SKU0002,Ergonomic Keyboard,17,3.1,14375,Germany
536299,20/08/2023 13:53,SKU0002,Ergonomic Keyboard,14,3.1,14580,Spain
536300,21/08/2023 09:09,SKU0002,Ergonomic Keyboard,19,3.1,16734,United Kingdom
536301,23/08/2023 16:00,SKU0002,Ergonomic Keyboard,11,3.1,18638,Ireland
536302,24/08/2023 17:09,SKU0002,Ergonomic Keyboard,16,3.1,13366,Ireland
536303,26/08/2023 11:23,SKU0002,Ergonomic Keyboard,14,3.1,19458,Germany
536304,27/08/2023 09:08,SKU0002,Ergonomic Keyboard,11,3.1,13543,Ireland
536305,28/08/2023 09:32,SKU0002,Ergonomic Keyboard,14,3.1,12726,United Kingdom
536306,29/08/2023 11:50,SKU0002,Ergonomic Keyboard,16,3.1,16270,Spain
536307,30/08/2023 10:52,SKU0002,Ergonomic Keyboard,18,3.1,13638,Ireland
536308,31/08/2023 18:12,SKU0002,Ergonomic Keyboard,11,3.1,13778,Germany
536309,01/09/2023 14:08,SKU0002,Ergonomic Keyboard,16,3.1,16857,France
536310,02/09/2023 10:17,SKU0002,Ergonomic Keyboard,17,3.1,14581,Spain
536311,04/09/2023 15:46,SKU0002,Ergonomic Keyboard,15,3.1,12582,Belgium
536312,05/09/2023 09:27,SKU0002,Ergonomic Keyboard,15,3.1,19539,Germany
536313,06/09/2023 14:06,SKU0002,Ergonomic Keyboard,13,3.1,16147,France
536314,07/09/2023 16:54,SKU0002,Ergonomic Keyboard,10,3.1,17134,Germany
536315,08/09/2023 12:33,SKU0002,Ergonomic Keyboard,16,3.1,16467,Belgium
536316,09/09/2023 17:35,SKU0002,Ergonomic Keyboard,14,3.1,14292,Belgium
536317,10/09/2023 16:07,SKU0002,Ergonomic Keyboard,16,3.1,13184,Belgium
536318,11/09/2023 08:20,SKU0002,Ergonomic Keyboard,14,3.1,18937,Ireland
536319,13/09/2023 14:19,SKU0002,Ergonomic Keyboard,13,3.1,12471,United Kingdom
536320,15/09/2023 17:24,SKU0002,Ergonomic Keyboard,11,3.1,12101,France
536321,16/09/2023 08:00,SKU0002,Ergonomic Keyboard,12,3.1,15514,France
